usuario,filme,nota
Critico_Generoso_005,Farewell My Concubine (Ba wang bie ji) (1993),3.5
Critico_Generoso_005,Godzilla (2014),5.0
Critico_Generoso_005,"5,000 Fingers of Dr. T, The (1953)",5.0
Critico_Generoso_006,Cast Away (2000),4.5
Critico_Generoso_006,Sympathy for the Underdog (1971),4.0
Critico_Generoso_006,Company Man (2000),4.0
Critico_Generoso_006,White Oleander (2002),5.0
Critico_Generoso_006,Big Night (1996),5.0
Critico_Generoso_006,"Jolson Story, The (1946)",4.5
Critico_Generoso_006,"Trip, The (2010)",4.0
Critico_Generoso_006,Hare-um Scare-um (1939),3.5
Critico_Generoso_006,Deadtime Stories (1987),4.5
Critico_Generoso_006,"Game Plan, The (2007)",3.5
Critico_Generoso_006,Winds of the Wasteland (1936),4.0
Critico_Generoso_006,City Hall (1996),5.0
Critico_Generoso_006,Death Proof (2007),5.0
Critico_Generoso_006,Anywhere But Here (1999),4.0
Critico_Generoso_006,Real Steel (2011),4.5
Critico_Generoso_006,Casino Royale (2006),4.5
Critico_Generoso_006,"Eyes Without a Face (Yeux sans visage, Les) (1959)",4.0
Critico_Generoso_006,Miami Rhapsody (1995),4.0
Critico_Generoso_006,American History X (1998),4.5
Critico_Generoso_006,Transformers: Revenge of the Fallen (2009),5.0
Critico_Generoso_006,The Commuter (2018),5.0
Critico_Generoso_006,"Dictator, The (2012)",4.5
Critico_Generoso_006,Legend of the Guardians: The Owls of Ga'Hoole (2010),5.0
Critico_Generoso_006,Babylon 5: The Lost Tales - Voices in the Dark (2007),5.0
Critico_Generoso_006,Seven Samurai (Shichinin no samurai) (1954),5.0
Critico_Generoso_006,"It's a Mad, Mad, Mad, Mad World (1963)",5.0
Critico_Generoso_006,Night at the Museum: Secret of the Tomb (2014),4.0
Critico_Generoso_006,Cheburashka (1971),4.0
Critico_Generoso_006,Little Miss Sunshine (2006),4.5
Critico_Generoso_006,Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),5.0
Critico_Generoso_007,Beavis and Butt-Head Do America (1996),4.5
Critico_Generoso_007,"Time Masters (Maîtres du temps, Les) (1982)",4.5
Critico_Generoso_007,"Namesake, The (2006)",4.0
Critico_Generoso_007,High School High (1996),4.5
Critico_Generoso_007,Blackadder Back & Forth (1999),3.5
Critico_Generoso_007,My Fair Lady (1964),5.0
Critico_Generoso_007,Thor (2011),3.5
Critico_Generoso_007,The DUFF (2015),4.5
Critico_Generoso_007,"Cannonball Run, The (1981)",4.5
Critico_Generoso_007,Jesus Camp (2006),3.5
Critico_Generoso_007,John Adams (2008),4.0
Critico_Generoso_007,Kissed (1996),5.0
Critico_Generoso_007,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),4.0
Critico_Generoso_007,"Princess and the Frog, The (2009)",4.5
Critico_Generoso_007,"Bell, Book and Candle (1958)",4.5
Critico_Generoso_007,Where the Money Is (2000),3.5
Critico_Generoso_007,Glengarry Glen Ross (1992),5.0
Critico_Generoso_007,Manic (2001),4.0
Critico_Generoso_007,Cure (1997),4.5
Critico_Generoso_007,White Oleander (2002),3.5
Critico_Generoso_007,Monty Python's Life of Brian (1979),4.5
Critico_Generoso_007,Taxi to the Dark Side (2007),5.0
Critico_Generoso_007,"Woman of Paris, A (1923)",5.0
Critico_Generoso_007,East is East (1999),5.0
Critico_Generoso_007,Saw (2004),3.5
Critico_Generoso_007,"Cup, The (Phörpa) (1999)",5.0
Critico_Generoso_007,One Tough Cop (1998),4.0
Critico_Generoso_007,"Goofy Movie, A (1995)",4.5
Critico_Generoso_007,Kansas City (1996),4.0
Critico_Generoso_007,Harold & Kumar Escape from Guantanamo Bay (2008),4.5
Critico_Generoso_008,Woman on Top (2000),4.5
Critico_Generoso_008,Anna Karenina (2012),4.5
Critico_Generoso_008,Frances Ha (2012),4.5
Critico_Generoso_008,Tropic Thunder (2008),5.0
Critico_Generoso_008,American Ultra (2015),4.0
Critico_Generoso_008,"Water Horse: Legend of the Deep, The (2007)",4.5
Critico_Generoso_008,Creature Comforts (1989),4.0
Critico_Generoso_008,Contraband (2012),4.0
Critico_Generoso_008,Grown Ups 2 (2013),4.0
Critico_Generoso_008,Ernest Scared Stupid (1991),4.5
Critico_Generoso_008,Life Is Beautiful (La Vita è bella) (1997),3.5
Critico_Generoso_008,"U.S. vs. John Lennon, The (2006)",4.5
Critico_Generoso_008,Radio Flyer (1992),4.5
Critico_Generoso_008,"Lost World: Jurassic Park, The (1997)",3.5
Critico_Generoso_008,Presto (2008),4.5
Critico_Generoso_008,Losing Isaiah (1995),4.0
Critico_Generoso_008,Golden Door (Nuovomondo) (2006),4.5
Critico_Generoso_008,300: Rise of an Empire (2014),5.0
Critico_Generoso_008,Winnie the Pooh (2011),5.0
Critico_Generoso_008,Barefoot in the Park (1967),4.5
Critico_Generoso_008,"Lady Eve, The (1941)",3.5
Critico_Generoso_008,Scrooge (1970),5.0
Critico_Generoso_008,Glory Daze (1995),4.5
Critico_Generoso_008,I Do: How to Get Married and Stay Single (Prête-moi ta main) (2006),4.5
Critico_Generoso_008,"Time Traveler's Wife, The (2009)",4.0
Critico_Generoso_008,Manhattan Murder Mystery (1993),5.0
Critico_Generoso_008,Collision Course (1989),4.0
Critico_Generoso_008,My Name Is Joe (1998),4.5
Critico_Generoso_008,Miracle on 34th Street (1994),4.5
Critico_Generoso_008,L.A. Confidential (1997),4.0
Critico_Generoso_009,Cradle Will Rock (1999),5.0
Critico_Generoso_009,Spy Hard (1996),4.0
Critico_Generoso_009,Little Women (1949),5.0
Critico_Generoso_009,"Center of the World, The (2001)",4.5
Critico_Generoso_009,"Little Shop of Horrors, The (1960)",3.5
Critico_Generoso_009,Godsend (2004),5.0
Critico_Generoso_009,Rashomon (Rashômon) (1950),4.5
Critico_Generoso_009,Halloween 4: The Return of Michael Myers (1988),4.5
Critico_Generoso_009,Goat (2016),3.5
Critico_Generoso_009,Fido (2006),5.0
Critico_Generoso_009,Head of State (2003),5.0
Critico_Generoso_009,Day of Wrath (Vredens dag) (1943),4.0
Critico_Generoso_009,The Pumaman (1980),4.5
Critico_Generoso_009,Stealing Rembrandt (Rembrandt) (2003),4.0
Critico_Generoso_009,"Brothers Bloom, The (2008)",4.5
Critico_Generoso_009,High Sierra (1941),4.0
Critico_Generoso_009,Dead or Alive: Hanzaisha (1999),4.5
Critico_Generoso_009,Absence of Malice (1981),4.0
Critico_Generoso_009,Alien (1979),3.0
Critico_Generoso_009,Police Academy (1984),3.5
Critico_Generoso_009,Now and Then (1995),4.5
Critico_Generoso_009,Above the Law (1988),4.0
Critico_Generoso_009,Persuasion (2007),5.0
Critico_Generoso_009,Sugar & Spice (2001),4.5
Critico_Generoso_009,"Vanishing, The (1993)",4.0
Critico_Generoso_009,"Grudge, The (2004)",3.5
Critico_Generoso_009,Big Bully (1996),5.0
Critico_Generoso_009,Yi Yi (2000),4.0
Critico_Generoso_009,X-Men: Days of Future Past (2014),3.5
Critico_Generoso_009,Mother (1996),4.5
Critico_Generoso_010,Tomb Raider (2018),5.0
Critico_Generoso_010,I'm Gonna Git You Sucka (1988),4.5
Critico_Generoso_010,Sex and Lucia (Lucía y el sexo) (2001),4.0
Critico_Generoso_010,Tom and Jerry: Shiver Me Whiskers (2006),4.5
Critico_Generoso_010,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",5.0
Critico_Generoso_010,John Q (2002),4.5
Critico_Generoso_010,Swingers (1996),5.0
Critico_Generoso_010,Shakespeare in Love (1998),4.0
Critico_Generoso_010,My First Mister (2001),4.0
Critico_Generoso_010,Lights Out (2016),4.0
Critico_Generoso_010,"Devil's Rejects, The (2005)",4.5
Critico_Generoso_010,London Boulevard (2010),4.0
Critico_Generoso_010,Despicable Me 2 (2013),4.0
Critico_Generoso_010,Garage Days (2002),4.5
Critico_Generoso_010,Prayers for Bobby (2009),4.0
Critico_Generoso_010,"Incredible Shrinking Man, The (1957)",4.5
Critico_Generoso_010,"Aristocats, The (1970)",4.0
Critico_Generoso_010,Star Wars: The Last Jedi (2017),4.5
Critico_Generoso_010,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
Critico_Generoso_010,Body Snatchers (1993),4.5
Critico_Generoso_010,Dragnet (1987),4.5
Critico_Generoso_010,Hollywood Shuffle (1987),5.0
Critico_Generoso_010,Running Scared (2006),3.5
Critico_Generoso_010,Stripes (1981),3.5
Critico_Generoso_010,"Girl Next Door, The (2004)",4.5
Critico_Generoso_010,Late Night with Conan O'Brien: The Best of Triumph the Insult Comic Dog (2004),4.5
Critico_Generoso_010,The Night Before (2015),3.5
Critico_Generoso_010,MirrorMask (2005),4.0
Critico_Generoso_010,The Devil's Candy (2015),4.0
Critico_Generoso_010,Scarface (1932),4.0
Critico_Generoso_011,Undercover Blues (1993),4.5
Critico_Generoso_011,Rock the Kasbah (2015),5.0
Critico_Generoso_011,Shrek (2001),4.0
Critico_Generoso_011,Dr. Giggles (1992),4.0
Critico_Generoso_011,Red Sorghum (Hong gao liang) (1987),4.5
Critico_Generoso_011,Stand and Deliver (1988),5.0
Critico_Generoso_011,Splash (1984),4.5
Critico_Generoso_011,"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",5.0
Critico_Generoso_011,Mon oncle d'Amérique (1980),4.0
Critico_Generoso_011,Broken Arrow (1996),5.0
Critico_Generoso_011,Gordy (1995),4.0
Critico_Generoso_011,Cousins (1989),5.0
Critico_Generoso_011,Splinter (2008),4.5
Critico_Generoso_011,Year of the Dragon (1985),4.0
Critico_Generoso_011,Wow! A Talking Fish! (1983),3.5
Critico_Generoso_011,Roll Bounce (2005),5.0
Critico_Generoso_011,Angels with Dirty Faces (1938),4.5
Critico_Generoso_011,Harlan County U.S.A. (1976),4.0
Critico_Generoso_011,"Yearling, The (1946)",5.0
Critico_Generoso_011,Ride Along (2014),4.5
Critico_Generoso_011,Mayor of the Sunset Strip (2003),4.0
Critico_Generoso_011,Requiem for a Dream (2000),4.0
Critico_Generoso_011,Interiors (1978),4.0
Critico_Generoso_011,Tilt (2011),4.5
Critico_Generoso_011,10 (1979),4.5
Critico_Generoso_011,Chocolat (1988),4.0
Critico_Generoso_011,Bagdad Cafe (Out of Rosenheim) (1987),5.0
Critico_Generoso_011,Black Panther (2017),4.0
Critico_Generoso_011,Born into Brothels (2004),5.0
Critico_Generoso_011,Train to Busan (2016),4.5
Critico_Generoso_012,Dog Days (Hundstage) (2001),3.5
Critico_Generoso_012,Alvin and the Chipmunks: The Squeakquel (2009),4.5
Critico_Generoso_012,Presumed Innocent (1990),4.5
Critico_Generoso_012,Where's Marlowe? (1998),4.5
Critico_Generoso_012,"Parent Trap, The (1998)",5.0
Critico_Generoso_012,Burnt Offerings (1976),5.0
Critico_Generoso_012,Doomsday (2008),5.0
Critico_Generoso_012,"Tourist, The (2010)",4.0
Critico_Generoso_012,Z (1969),4.5
Critico_Generoso_012,Sweet Home Alabama (2002),4.5
Critico_Generoso_012,"Girl with the Dragon Tattoo, The (2011)",4.0
Critico_Generoso_012,City Slickers (1991),4.0
Critico_Generoso_012,Rabbit-Proof Fence (2002),4.5
Critico_Generoso_012,Sands of Iwo Jima (1949),4.0
Critico_Generoso_012,"Flight of the Phoenix, The (1965)",4.0
Critico_Generoso_012,Igor (2008),5.0
Critico_Generoso_012,Brokeback Mountain (2005),5.0
Critico_Generoso_012,Emma (1996),4.0
Critico_Generoso_012,Flashdance (1983),4.0
Critico_Generoso_012,Paranormal Activity 4 (2012),5.0
Critico_Generoso_012,Hellbenders (2012),4.5
Critico_Generoso_012,"Mexican, The (2001)",4.0
Critico_Generoso_012,Lawless (2012),4.0
Critico_Generoso_012,Swamp Thing (1982),4.0
Critico_Generoso_012,Submarine (2010),4.5
Critico_Generoso_012,"Perfect Getaway, A (2009)",4.5
Critico_Generoso_012,Chicago (2002),4.0
Critico_Generoso_012,"Joy Luck Club, The (1993)",3.5
Critico_Generoso_012,"Texas Chainsaw Massacre, The (2003)",5.0
Critico_Generoso_012,Stalingrad (2013),4.0
Critico_Generoso_013,"Goods: Live Hard, Sell Hard, The (2009)",5.0
Critico_Generoso_013,"Bridges of Madison County, The (1995)",4.5
Critico_Generoso_013,My Tutor (1983),4.5
Critico_Generoso_013,Barbarella (1968),4.0
Critico_Generoso_013,Magic Mike (2012),5.0
Critico_Generoso_013,Marius and Jeanette (Marius et Jeannette) (1997),4.5
Critico_Generoso_013,Paranormal Activity 2 (2010),4.5
Critico_Generoso_013,Down Argentine Way (1940),4.0
Critico_Generoso_013,Frenzy (1972),5.0
Critico_Generoso_013,Upstream Color (2013),5.0
Critico_Generoso_013,Last Knights (2015),4.0
Critico_Generoso_013,"Inbetweeners 2, The (2014)",4.5
Critico_Generoso_013,Guardians (2016),5.0
Critico_Generoso_013,"Butcher Boy, The (1997)",4.5
Critico_Generoso_013,American Dreamz (2006),4.5
Critico_Generoso_013,Mr. Woodcock (2007),5.0
Critico_Generoso_013,Mission: Impossible - Fallout (2018),3.5
Critico_Generoso_013,Oasis (2002),4.0
Critico_Generoso_013,You Can't Take It with You (1938),4.5
Critico_Generoso_013,Snow Dogs (2002),5.0
Critico_Generoso_013,Glory Daze (1995),4.5
Critico_Generoso_013,The Red Turtle (2016),4.5
Critico_Generoso_013,Boy Meets Girl (2015),4.0
Critico_Generoso_013,Black Tar Heroin: The Dark End of the Street (2000),4.5
Critico_Generoso_013,Midnight Cowboy (1969),4.5
Critico_Generoso_013,"Invincible Iron Man, The (2007)",4.0
Critico_Generoso_013,Tormented (1960),4.5
Critico_Generoso_013,My Favorite Martian (1999),4.5
Critico_Generoso_013,White Men Can't Jump (1992),3.5
Critico_Generoso_013,MacGruber (2010),4.0
Critico_Generoso_014,Man on High Heels (2014),5.0
Critico_Generoso_014,"Late Shift, The (1996)",4.5
Critico_Generoso_014,Magnolia (1999),4.5
Critico_Generoso_014,"Captive, The (2014)",4.5
Critico_Generoso_014,Cloudy with a Chance of Meatballs 2 (2013),5.0
Critico_Generoso_014,She-Devil (1989),4.0
Critico_Generoso_014,Snowden (2016),4.5
Critico_Generoso_014,Laura (1944),4.0
Critico_Generoso_014,Temple Grandin (2010),4.0
Critico_Generoso_014,Run All Night (2015),4.0
Critico_Generoso_014,Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),4.0
Critico_Generoso_014,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),4.5
Critico_Generoso_014,"Phantom of the Opera, The (2004)",4.0
Critico_Generoso_014,Domino (2005),5.0
Critico_Generoso_014,Darkness Falls (2003),4.5
Critico_Generoso_014,Kill Bill: Vol. 2 (2004),4.0
Critico_Generoso_014,"Last Samurai, The (2003)",4.0
Critico_Generoso_014,"Sacrifice, The (Offret - Sacraficatio) (1986)",5.0
Critico_Generoso_014,Dragon Ball Z: Battle of Gods (2013),3.5
Critico_Generoso_014,Mildred Pierce (2011),4.5
Critico_Generoso_014,"Preacher's Wife, The (1996)",4.0
Critico_Generoso_014,Oscar (1967),3.5
Critico_Generoso_014,"Fistful of Dollars, A (Per un pugno di dollari) (1964)",5.0
Critico_Generoso_014,Veronica Guerin (2003),4.5
Critico_Generoso_014,Finding Nemo (2003),4.5
Critico_Generoso_014,Manhattan Murder Mystery (1993),4.5
Critico_Generoso_014,"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)",4.5
Critico_Generoso_014,Pink Cadillac (1989),4.0
Critico_Generoso_014,Gold Diggers of 1933 (1933),4.5
Critico_Generoso_014,Tron: Legacy (2010),4.5
Critico_Generoso_015,Tokyo Drifter (Tôkyô nagaremono) (1966),4.0
Critico_Generoso_015,"Constant Gardener, The (2005)",4.0
Critico_Generoso_015,Revenge of the Nerds IV: Nerds in Love (1994),4.5
Critico_Generoso_015,Jurassic Park (1993),5.0
Critico_Generoso_015,Lesson Faust (1994),5.0
Critico_Generoso_015,American Reunion (American Pie 4) (2012),5.0
Critico_Generoso_015,Coherence (2013),5.0
Critico_Generoso_015,Independence Day (a.k.a. ID4) (1996),4.5
Critico_Generoso_015,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),4.5
Critico_Generoso_015,anohana: The Flower We Saw That Day - The Movie (2013),4.5
Critico_Generoso_015,"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)",5.0
Critico_Generoso_015,"Pope of Greenwich Village, The (1984)",4.0
Critico_Generoso_015,Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da) (1994),5.0
Critico_Generoso_015,The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles (1981),3.5
Critico_Generoso_015,Days of Heaven (1978),4.0
Critico_Generoso_015,Disturbia (2007),4.0
Critico_Generoso_015,Cousins (1989),4.0
Critico_Generoso_015,Death Wish (2018),4.5
Critico_Generoso_015,Bunny Lake Is Missing (1965),4.5
Critico_Generoso_015,LOL (2012),4.5
Critico_Generoso_015,"Mighty Wind, A (2003)",3.5
Critico_Generoso_015,"Couch Trip, The (1988)",4.0
Critico_Generoso_015,"Bucket List, The (2007)",4.0
Critico_Generoso_015,The Mummy (2017),4.5
Critico_Generoso_015,Reality Bites (1994),4.5
Critico_Generoso_015,Around the World in 80 Days (1956),4.0
Critico_Generoso_015,"Misérables, Les (1995)",4.5
Critico_Generoso_015,Afro Samurai (2007),3.5
Critico_Generoso_015,Sherlock - A Study in Pink (2010),4.5
Critico_Generoso_015,Dragonfly (2002),5.0
Critico_Generoso_016,Iron Man & Hulk: Heroes United (2013),4.0
Critico_Generoso_016,Meet Joe Black (1998),4.5
Critico_Generoso_016,"Bourne Supremacy, The (2004)",5.0
Critico_Generoso_016,"Sound of the Mountain (Thunder of the Mountain, The) (Yama no oto) (1954)",4.0
Critico_Generoso_016,At the Circus (1939),4.5
Critico_Generoso_016,"Wrestler, The (2008)",4.0
Critico_Generoso_016,Premium Rush (2012),4.5
Critico_Generoso_016,New York Stories (1989),5.0
Critico_Generoso_016,Rare Exports: A Christmas Tale (Rare Exports) (2010),5.0
Critico_Generoso_016,Brother (Brat) (1997),4.0
Critico_Generoso_016,"Big Tease, The (1999)",4.0
Critico_Generoso_016,Ella Enchanted (2004),4.0
Critico_Generoso_016,Roll Bounce (2005),5.0
Critico_Generoso_016,How High (2001),5.0
Critico_Generoso_016,Warrior (2011),4.5
Critico_Generoso_016,Karate Bullfighter (1975),4.0
Critico_Generoso_016,"Boogeyman, The (1980)",4.0
Critico_Generoso_016,Land of Plenty (Angst and Alienation in America) (2004),4.0
Critico_Generoso_016,Calendar Girl (1993),4.0
Critico_Generoso_016,"Ruling Class, The (1972)",4.0
Critico_Generoso_016,"Last Exorcism, The (2010)",5.0
Critico_Generoso_016,"Man for All Seasons, A (1966)",4.0
Critico_Generoso_016,Why Stop Now (2012),4.5
Critico_Generoso_016,Land of the Dead (2005),4.5
Critico_Generoso_016,Bros Before Hos (2013),4.5
Critico_Generoso_016,Jiro Dreams of Sushi (2011),4.5
Critico_Generoso_016,Home for the Holidays (1995),4.5
Critico_Generoso_016,Psycho II (1983),4.0
Critico_Generoso_016,Hansel & Gretel: Witch Hunters (2013),5.0
Critico_Generoso_016,Beetlejuice (1988),5.0
Critico_Generoso_017,Cops and Robbersons (1994),5.0
Critico_Generoso_017,Two Girls and a Guy (1997),3.5
Critico_Generoso_017,Pitch Black (2000),5.0
Critico_Generoso_017,Hedgehog in the Fog (1975),4.5
